"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_1024","IS24T-06XX274-DT","Tue 11/17/2015-20:26:51.97","Tue 11/17/2015-20:42:58.42",1447766811,1447767778,19311,1447766796,1447767797,15,19,967,1001,34
"blast500k_test_pub_fileFULL_gr_1025","IS24T-06XX283-DT","Tue 11/17/2015-20:14:42.76","Tue 11/17/2015-20:26:55.63",1447766082,1447766815,19312,1447766075,1447766845,7,30,733,770,37
"blast500k_test_pub_fileFULL_gr_1026","IS24T-06XX256-DT","Tue 11/17/2015-20:21:44.17","Tue 11/17/2015-20:45:33.04",1447766504,1447767933,19313,1447766480,1447767948,24,15,1429,1468,39
"blast500k_test_pub_fileFULL_gr_1027","IS24T-06XX277-DT","Tue 11/17/2015-20:14:56.25","Tue 11/17/2015-20:28:15.17",1447766096,1447766895,19314,1447766073,1447766910,23,15,799,837,38
"blast500k_test_pub_fileFULL_gr_1028","IS24T-06XX279-DT","Tue 11/17/2015-20:23:10.85","Tue 11/17/2015-20:41:34.49",1447766590,1447767694,19315,1447766595,1447767740,-5,46,1104,1145,41
"blast500k_test_pub_fileFULL_gr_1029","IS24T-06XX274-DT","Tue 11/17/2015-20:12:58.52","Tue 11/17/2015-20:25:49.71",1447765978,1447766749,19316,1447765961,1447766767,17,18,771,806,35
"blast500k_test_pub_fileFULL_gr_103","IS24T-06XX298-DT","Tue 11/17/2015-17:54:40.86","Tue 11/17/2015-18:06:54.05",1447757680,1447758414,18390,1447757722,1447758482,-42,68,734,760,26
"blast500k_test_pub_fileFULL_gr_1030","IS24T-06XX292-DT","Tue 11/17/2015-20:13:39.89","Tue 11/17/2015-20:31:53.82",1447766019,1447767113,19317,1447766063,1447767199,-44,86,1094,1136,42
"blast500k_test_pub_fileFULL_gr_1031","IS24T-06XX271-DT","Tue 11/17/2015-20:38:47.59","Tue 11/17/2015-20:55:25.76",1447767527,1447768525,19318,1447767505,1447768544,22,19,998,1039,41
"blast500k_test_pub_fileFULL_gr_1032","IS24T-06XX293-DT","Tue 11/17/2015-20:20:28.53","Tue 11/17/2015-20:41:33.12",1447766428,1447767693,19319,1447766423,1447767726,5,33,1265,1303,38
"blast500k_test_pub_fileFULL_gr_1033","IS24T-06XX279-DT","Tue 11/17/2015-20:56:43.34","Tue 11/17/2015-21:09:41.92",1447768603,1447769381,19320,1447768615,1447769425,-12,44,778,810,32
"blast500k_test_pub_fileFULL_gr_1034","IS24T-06XX253-DT","Tue 11/17/2015-20:14:48.51","Tue 11/17/2015-20:29:31.54",1447766088,1447766971,19321,1447766061,1447766986,27,15,883,925,42
"blast500k_test_pub_fileFULL_gr_1035","IS24T-06XX277-DT","Tue 11/17/2015-20:33:26.61","Tue 11/17/2015-20:45:47.95",1447767206,1447767947,19322,1447767195,1447767964,11,17,741,769,28
"blast500k_test_pub_fileFULL_gr_1036","IS24T-06XX283-DT","Tue 11/17/2015-20:28:24.39","Tue 11/17/2015-20:44:25.71",1447766904,1447767865,19323,1447766904,1447767893,0,28,961,989,28
"blast500k_test_pub_fileFULL_gr_1037","IS24T-06XX276-DT","Tue 11/17/2015-20:20:22.83","Tue 11/17/2015-20:32:15.55",1447766422,1447767135,19324,1447766400,1447767151,22,16,713,751,38
"blast500k_test_pub_fileFULL_gr_1038","IS24T-06XX276-DT","Tue 11/17/2015-20:46:05.91","Tue 11/17/2015-20:56:51.89",1447767965,1447768611,19325,1447767942,1447768631,23,20,646,689,43
"blast500k_test_pub_fileFULL_gr_1039","IS24T-06XX283-DT","Tue 11/17/2015-20:45:17.67","Tue 11/17/2015-20:58:08.17",1447767917,1447768688,19326,1447767904,1447768718,13,30,771,814,43
"blast500k_test_pub_fileFULL_gr_104","IS24T-06XX253-DT","Tue 11/17/2015-18:13:46.79","Tue 11/17/2015-18:26:48.84",1447758826,1447759608,18391,1447758804,1447759625,22,17,782,821,39
"blast500k_test_pub_fileFULL_gr_1040","IS24T-06XX281-DT","Tue 11/17/2015-20:21:05.54","Tue 11/17/2015-20:30:54.78",1447766465,1447767054,19327,1447766456,1447767080,9,26,589,624,35
"blast500k_test_pub_fileFULL_gr_1041","IS24T-06XX277-DT","Tue 11/17/2015-20:21:26.62","Tue 11/17/2015-20:33:10.02",1447766486,1447767190,19328,1447766475,1447767207,11,17,704,732,28
"blast500k_test_pub_fileFULL_gr_1042","IS24T-06XX298-DT","Tue 11/17/2015-20:17:24.59","Tue 11/17/2015-20:30:41.25",1447766244,1447767041,19329,1447766275,1447767114,-31,73,797,839,42
"blast500k_test_pub_fileFULL_gr_1043","IS24T-06XX289-DT","Tue 11/17/2015-20:19:23.19","Tue 11/17/2015-20:35:46.91",1447766363,1447767346,19330,1447766364,1447767381,-1,35,983,1017,34
"blast500k_test_pub_fileFULL_gr_1044","IS24T-06XX265-DT","Tue 11/17/2015-20:18:22.98","Tue 11/17/2015-20:36:25.40",1447766302,1447767385,19331,1447766290,1447767402,12,17,1083,1112,29
"blast500k_test_pub_fileFULL_gr_1045","IS24T-06XX275-DT","Tue 11/17/2015-20:31:22.26","Tue 11/17/2015-20:50:02.87",1447767082,1447768202,19332,1447767083,1447768233,-1,31,1120,1150,30
"blast500k_test_pub_fileFULL_gr_1046","IS24T-06XX292-DT","Tue 11/17/2015-20:31:29.35","Tue 11/17/2015-20:45:49.50",1447767089,1447767949,19333,1447767131,1447768030,-42,81,860,899,39
"blast500k_test_pub_fileFULL_gr_1047","IS24T-06XX258-DT","Tue 11/17/2015-20:16:10.73","Tue 11/17/2015-20:28:48.19",1447766170,1447766928,19334,1447766147,1447766944,23,16,758,797,39
